episode:136; total step:220; total_reword:103.230 loss:0.00931; actual_eps:0.93; ave_Q:39.93388748168945
episode:137; total step:220; total_reword:97.251 loss:0.00900; actual_eps:0.93; ave_Q:37.0699348449707
episode:138; total step:220; total_reword:117.660 loss:0.00878; actual_eps:0.93; ave_Q:44.69015884399414
episode:139; total step:220; total_reword:88.282 loss:0.00948; actual_eps:0.93; ave_Q:44.129722595214844
episode:140; total step:220; total_reword:87.109 loss:0.00978; actual_eps:0.93; ave_Q:32.87192153930664
episode:141; total step:220; total_reword:55.236 loss:0.00967; actual_eps:0.93; ave_Q:20.4033260345459
episode:142; total step:220; total_reword:57.584 loss:0.00905; actual_eps:0.93; ave_Q:21.69831085205078
episode:143; total step:220; total_reword:89.381 loss:0.00876; actual_eps:0.93; ave_Q:42.81294250488281
episode:144; total step:220; total_reword:137.709 loss:0.00899; actual_eps:0.93; ave_Q:43.8408088684082
episode:145; total step:220; total_reword:98.798 loss:0.00849; actual_eps:0.93; ave_Q:33.05557632446289
episode:146; total step:220; total_reword:100.137 loss:0.00804; actual_eps:0.93; ave_Q:36.86259078979492
episode:147; total step:220; total_reword:123.153 loss:0.00953; actual_eps:0.93; ave_Q:37.028106689453125
episode:148; total step:220; total_reword:137.130 loss:0.00854; actual_eps:0.93; ave_Q:40.52921676635742
episode:149; total step:220; total_reword:97.452 loss:0.00877; actual_eps:0.93; ave_Q:34.705623626708984
episode:150; total step:220; total_reword:129.381 loss:0.00806; actual_eps:0.93; ave_Q:44.54737091064453
episode:151; total step:220; total_reword:95.358 loss:0.00865; actual_eps:0.92; ave_Q:29.255287170410156
episode:152; total step:220; total_reword:70.634 loss:0.00907; actual_eps:0.92; ave_Q:30.221923828125
episode:153; total step:220; total_reword:122.267 loss:0.00849; actual_eps:0.92; ave_Q:41.25560760498047
episode:154; total step:220; total_reword:123.544 loss:0.00869; actual_eps:0.92; ave_Q:44.88492202758789
episode:155; total step:220; total_reword:122.135 loss:0.00900; actual_eps:0.92; ave_Q:39.3858528137207
episode:156; total step:220; total_reword:109.002 loss:0.00920; actual_eps:0.92; ave_Q:38.221961975097656
episode:157; total step:220; total_reword:132.940 loss:0.00783; actual_eps:0.92; ave_Q:41.15237045288086
episode:158; total step:220; total_reword:69.301 loss:0.00907; actual_eps:0.92; ave_Q:28.754911422729492
episode:159; total step:220; total_reword:115.284 loss:0.00852; actual_eps:0.92; ave_Q:39.416168212890625
episode:160; total step:220; total_reword:78.166 loss:0.00852; actual_eps:0.92; ave_Q:33.69215393066406
episode:161; total step:220; total_reword:113.086 loss:0.00849; actual_eps:0.92; ave_Q:38.367042541503906
episode:162; total step:220; total_reword:143.699 loss:0.00844; actual_eps:0.92; ave_Q:44.292476654052734
episode:163; total step:220; total_reword:116.528 loss:0.00868; actual_eps:0.92; ave_Q:40.75300598144531
episode:164; total step:220; total_reword:79.176 loss:0.00830; actual_eps:0.92; ave_Q:34.900386810302734
episode:165; total step:220; total_reword:124.261 loss:0.00913; actual_eps:0.92; ave_Q:41.422454833984375
episode:166; total step:220; total_reword:88.677 loss:0.00844; actual_eps:0.92; ave_Q:30.562759399414062
episode:167; total step:220; total_reword:79.161 loss:0.00835; actual_eps:0.92; ave_Q:33.58697509765625
episode:168; total step:220; total_reword:86.216 loss:0.00799; actual_eps:0.92; ave_Q:29.765304565429688
episode:169; total step:220; total_reword:123.338 loss:0.00834; actual_eps:0.92; ave_Q:44.50314712524414
episode:170; total step:220; total_reword:106.092 loss:0.00892; actual_eps:0.92; ave_Q:36.56001281738281
episode:171; total step:220; total_reword:132.009 loss:0.00881; actual_eps:0.92; ave_Q:41.94902038574219
episode:172; total step:220; total_reword:71.443 loss:0.00853; actual_eps:0.92; ave_Q:25.725830078125
episode:173; total step:220; total_reword:114.110 loss:0.00909; actual_eps:0.92; ave_Q:38.02505874633789
episode:174; total step:220; total_reword:121.478 loss:0.00814; actual_eps:0.91; ave_Q:40.332664489746094
