episode:160; total step:220; total_reword:75.662 loss:0.01650; actual_eps:0.92; ave_Q:22.995460510253906
episode:161; total step:220; total_reword:41.340 loss:0.01700; actual_eps:0.92; ave_Q:19.360774993896484
episode:162; total step:220; total_reword:27.655 loss:0.01695; actual_eps:0.92; ave_Q:24.027179718017578
episode:163; total step:220; total_reword:-4.479 loss:0.01670; actual_eps:0.92; ave_Q:15.003195762634277
episode:164; total step:220; total_reword:92.311 loss:0.01618; actual_eps:0.92; ave_Q:33.09959030151367
episode:165; total step:220; total_reword:62.043 loss:0.01693; actual_eps:0.92; ave_Q:26.454736709594727
episode:166; total step:220; total_reword:72.882 loss:0.01626; actual_eps:0.92; ave_Q:29.30986976623535
episode:167; total step:220; total_reword:41.862 loss:0.01553; actual_eps:0.92; ave_Q:26.784257888793945
episode:168; total step:220; total_reword:93.078 loss:0.01607; actual_eps:0.92; ave_Q:31.219799041748047
episode:169; total step:220; total_reword:117.675 loss:0.01585; actual_eps:0.92; ave_Q:33.13951110839844
episode:170; total step:220; total_reword:78.188 loss:0.01563; actual_eps:0.92; ave_Q:29.46229362487793
episode:171; total step:220; total_reword:59.896 loss:0.01523; actual_eps:0.92; ave_Q:18.711883544921875
episode:172; total step:220; total_reword:68.777 loss:0.01558; actual_eps:0.92; ave_Q:22.850671768188477
episode:173; total step:220; total_reword:64.409 loss:0.01555; actual_eps:0.92; ave_Q:30.294179916381836
episode:174; total step:220; total_reword:18.095 loss:0.01546; actual_eps:0.91; ave_Q:17.821439743041992
episode:175; total step:220; total_reword:141.823 loss:0.01527; actual_eps:0.91; ave_Q:37.78562545776367
episode:176; total step:220; total_reword:119.159 loss:0.01582; actual_eps:0.91; ave_Q:33.32626724243164
episode:177; total step:220; total_reword:39.813 loss:0.01501; actual_eps:0.91; ave_Q:27.654041290283203
episode:178; total step:220; total_reword:4.972 loss:0.01514; actual_eps:0.91; ave_Q:17.278173446655273
episode:179; total step:220; total_reword:70.158 loss:0.01574; actual_eps:0.91; ave_Q:17.03770637512207
episode:180; total step:220; total_reword:76.808 loss:0.01521; actual_eps:0.91; ave_Q:31.402698516845703
episode:181; total step:220; total_reword:53.935 loss:0.01523; actual_eps:0.91; ave_Q:26.824596405029297
episode:182; total step:220; total_reword:1.906 loss:0.01547; actual_eps:0.91; ave_Q:12.026764869689941
episode:183; total step:220; total_reword:74.255 loss:0.01529; actual_eps:0.91; ave_Q:30.551422119140625
episode:184; total step:220; total_reword:76.392 loss:0.01481; actual_eps:0.91; ave_Q:26.731473922729492
episode:185; total step:220; total_reword:65.446 loss:0.01476; actual_eps:0.91; ave_Q:29.048221588134766
episode:186; total step:220; total_reword:60.493 loss:0.01385; actual_eps:0.91; ave_Q:23.810972213745117
episode:187; total step:220; total_reword:80.937 loss:0.01452; actual_eps:0.91; ave_Q:26.759033203125
episode:188; total step:220; total_reword:38.930 loss:0.01436; actual_eps:0.91; ave_Q:23.131603240966797
episode:189; total step:220; total_reword:79.355 loss:0.01460; actual_eps:0.91; ave_Q:32.61857604980469
episode:190; total step:220; total_reword:20.615 loss:0.01438; actual_eps:0.91; ave_Q:20.40041732788086
episode:191; total step:220; total_reword:41.324 loss:0.01335; actual_eps:0.91; ave_Q:26.770238876342773
episode:192; total step:220; total_reword:80.513 loss:0.01346; actual_eps:0.91; ave_Q:34.701385498046875
episode:193; total step:220; total_reword:-52.623 loss:0.01401; actual_eps:0.91; ave_Q:8.859827995300293
episode:194; total step:220; total_reword:36.185 loss:0.01335; actual_eps:0.91; ave_Q:20.910184860229492
episode:195; total step:220; total_reword:38.787 loss:0.01363; actual_eps:0.91; ave_Q:25.93333625793457
episode:196; total step:220; total_reword:61.347 loss:0.01371; actual_eps:0.91; ave_Q:26.164310455322266
episode:197; total step:220; total_reword:26.410 loss:0.01387; actual_eps:0.91; ave_Q:17.57452964782715
episode:198; total step:220; total_reword:20.109 loss:0.01299; actual_eps:0.90; ave_Q:15.603863716125488
episode:199; total step:220; total_reword:104.745 loss:0.01298; actual_eps:0.90; ave_Q:31.150222778320312
